Duplicate Votes by County Stats:
   Updated from data as of 2020-10-31 23:59:59 CDT

    county     | count | republican | democrat
---------------+-------+------------+----------
 DEWITT        |  7410 |      80.77 |    17.02
 LIBERTY       |  2339 |      78.06 |    20.08
 VAL VERDE     |  1022 |      43.46 |    51.35
 JASPER        |   856 |      79.23 |    19.34
 FAYETTE       |   640 |      78.41 |    19.29
 TYLER         |   518 |      82.83 |    15.60
 MCCULLOCH     |   480 |      82.50 |    15.55
 LAMAR         |   371 |      78.47 |    19.31
 JIM WELLS     |   364 |      43.83 |    54.17
 JOHNSON       |   346 |      77.48 |    19.17
 ZAPATA        |   256 |      32.80 |    65.60
 FREESTONE     |   248 |      78.80 |    19.20
 COLEMAN       |   242 |      87.40 |    10.65
 FALLS         |   138 |      65.71 |    32.15
 BRAZORIA      |   131 |      60.40 |    35.81
 FRIO          |   114 |      45.92 |    52.22
 GOLIAD        |   111 |      70.51 |    26.21
 THROCKMORTON  |   106 |      88.49 |    10.40
 DALLAS        |   100 |      34.89 |    61.13
 HARRIS        |    96 |      41.83 |    54.22
 KNOX          |    91 |      79.38 |    18.19
 GRAY          |    82 |      88.25 |     9.50
 MONTGOMERY    |    72 |      73.95 |    22.52
 REAL          |    70 |      82.36 |    15.61
 DELTA         |    68 |      80.56 |    17.55
 RANDALL       |    66 |      80.61 |    15.50
 GONZALES      |    62 |      72.65 |    24.86
 CAMP          |    60 |      70.48 |    27.74
 NACOGDOCHES   |    60 |      65.76 |    30.41
 PARKER        |    60 |      82.31 |    14.76
 COCHRAN       |    58 |      75.36 |    21.09
 WILSON        |    56 |      72.66 |    24.88
 REEVES        |    54 |      44.50 |    52.10
 BEXAR         |    53 |      40.98 |    54.47
 SCURRY        |    52 |      83.69 |    13.93
 FANNIN        |    50 |      79.65 |    17.73
 BROOKS        |    50 |      23.61 |    74.61
 MENARD        |    48 |      79.19 |    17.79
 LYNN          |    46 |      77.42 |    20.18
 JEFFERSON     |    42 |      49.02 |    48.54
 GALVESTON     |    37 |      59.33 |    36.70
 HAMILTON      |    37 |      84.68 |    13.27
 KENT          |    34 |      83.14 |    13.63
 TRINITY       |    30 |      79.19 |    19.29
 ARCHER        |    30 |      88.66 |     9.23
 ZAVALA        |    29 |      20.41 |    77.67
 WINKLER       |    28 |      74.91 |    22.42
 MOTLEY        |    26 |      92.10 |     6.45
 HANSFORD      |    24 |      88.85 |     8.78
 NEWTON        |    24 |      73.84 |    24.39
 MILLS         |    22 |      87.09 |    10.81
 TARRANT       |    21 |      52.15 |    43.45
 KERR          |    20 |      76.47 |    20.20
 DAWSON        |    20 |      74.00 |    23.44
 MORRIS        |    20 |      69.36 |    28.71
 NAVARRO       |    19 |      73.15 |    24.40
 MARTIN        |    18 |      82.79 |    15.16
 STARR         |    18 |      18.97 |    79.09
 WILLACY       |    18 |      30.32 |    67.22
 FORT BEND     |    18 |      45.02 |    51.65
 LASALLE       |    18 |      42.46 |    54.90
 BRAZOS        |    18 |      58.55 |    34.89
 CONCHO        |    18 |      82.94 |    13.87
 MCMULLEN      |    18 |      91.35 |     8.05
 HUNT          |    18 |      76.53 |    20.21
 CORYELL       |    17 |      67.37 |    27.90
 COLLIN        |    16 |      56.20 |    39.22
 HOCKLEY       |    14 |      79.55 |    17.26
 JACKSON       |    14 |      80.87 |    17.14
 HARDEMAN      |    14 |      79.88 |    16.48
 AUSTIN        |    14 |      78.64 |    18.92
